",""nombre"",""amenity"",""longitud"",""latitud"""
"1,""MIO"",""ARCHITECTS"",-79.0037689208984,-2.9087700843811"
"2,""MAQUI"",""ARTS_CENTRE"",-78.4806213378906,-0.200719997286797"
"3,""GALERIA CATASSE"",""ARTS_CENTRE"",-78.4796524047852,-0.186360001564026"
"4,""ESQUINA DE LAS ARTES"",""ARTS_CENTRE"",-79.008056640625,-2.9010899066925"
"5,""CONSERVATORIO DE MUSICA MARIA RODRIGUEZ"",""ARTS_CENTRE"",-79.0046234130859,-2.889319896698"
"6,""ESCUELA DE BAILE"",""ARTS_CENTRE"",-78.6232833862305,-1.23836994171143"
"7,""CENTRO CULTURAL ECUATORIANO ALEMAN"",""ARTS_CENTRE"",-79.9009704589844,-2.16975998878479"
"8,""D'LA CABEZA ESTUDIOS"",""ARTS_CENTRE"",-78.4863586425781,-0.170210003852844"
"9,""STONED RIDERS"",""ARTS_CENTRE"",-78.5398330688477,-0.279029995203018"
"10,""CENTRO ARTISTICO DON BOSCO"",""ARTS_CENTRE"",-78.4924468994141,-0.187659993767738"
"11,""CASA CULTURAL TRUDE SOJKA"",""ARTS_CENTRE"",-78.4827575683594,-0.20532999932766"
"12,""ACADEMIA DE ARTE ALVARADO"",""ARTS_CENTRE"",-79.0149307250977,-2.90495991706848"
"13,""MOSAICO ESPACIO"",""ARTS_CENTRE"",-78.62841796875,-1.24151003360748"
"14,""POSADA DE ARTES KINGMAN"",""ARTS_CENTRE"",-78.4844970703125,-0.196600005030632"
"15,""CITI ECUADOR"",""BANK"",-78.4792022705078,-0.177670001983643"
"16,""BANCO BOLIVARIANO"",""BANK"",-80.7280731201172,-0.940959990024567"
"17,""PRODUBANCO"",""BANK"",-80.7266693115234,-0.942170023918152"
"18,""BANCO PICHINCHA"",""BANK"",-78.6154327392578,-0.933149993419647"
"19,""BANCO PICHINCHA"",""BANK"",-78.6197204589844,-0.931070029735565"
